Number of features,Number of samples,Execution time,Fitness,Train score,Test time,Number of trees
8670,149,2.1783,0.5871,0.0,0.0738,10
7237,149,2.1082,0.5909,0.0,0.0649,10
5909,149,1.969,0.596,0.0,0.0513,10
6255,149,2.0502,0.5777,0.0,0.055,10
6016,149,2.0142,0.5639,0.0,0.0496,10
7899,149,2.1268,0.5774,0.0,0.0588,10
10481,149,2.281,0.5758,0.0,0.082,10
9476,149,2.2115,0.5301,0.0,0.068,10
7026,149,2.1071,0.6235,0.0,0.0618,10
7065,149,2.091,0.6144,0.0,0.0636,10
6989,149,2.0967,0.5346,0.0,0.0535,10
7852,149,2.1701,0.5735,0.0,0.0657,10
6519,149,2.06,0.5741,0.0,0.0588,10
7832,149,2.1612,0.6205,0.0,0.0621,10
6846,149,2.0513,0.5679,0.0,0.0629,10
6537,149,2.0783,0.5509,0.0,0.0553,10
6337,149,2.0625,0.6145,0.0,0.0575,10
7747,149,2.1524,0.5696,0.0,0.058,10
7680,149,2.1152,0.6031,0.0,0.0658,10
7482,149,2.1288,0.5684,0.0,0.0656,10
7331,149,2.1415,0.5801,0.0,0.0655,10
6701,149,2.0469,0.5542,0.0,0.0526,10
6848,149,2.0742,0.5988,0.0,0.0598,10
7694,149,2.1171,0.5564,0.0,0.0585,10
7628,149,2.1699,0.6196,0.0,0.069,10
6521,149,2.0734,0.5633,0.0,0.0613,10
7693,149,2.1438,0.522,0.0,0.0616,10
7550,149,2.1219,0.5871,0.0,0.0583,10
7617,149,2.1521,0.4854,0.0,0.062,10
7365,149,2.1001,0.5867,0.0,0.0608,10
6812,149,2.1637,0.6197,0.0,0.0588,10
7592,149,2.111,0.5743,0.0,0.0575,10
6919,149,2.1073,0.6455,0.0,0.0503,10
7281,149,2.121,0.6197,0.0,0.0608,10
6989,149,2.1344,0.5724,0.0,0.0616,10
8004,149,2.1455,0.6238,0.0,0.0628,10
6471,149,2.0673,0.6014,0.0,0.0548,10
7774,149,2.1491,0.6391,0.0,0.0658,10
6417,149,2.025,0.6077,0.0,0.0621,10
6476,149,2.1138,0.5925,0.0,0.0618,10
7787,149,2.1389,0.6172,0.0,0.0744,10
6334,149,2.0032,0.5914,0.0,0.0484,10
7506,149,2.123,0.554,0.0,0.065,10
7632,149,2.1453,0.5974,0.0,0.0597,10
7062,149,2.0604,0.6169,0.0,0.0542,10
7093,149,2.0935,0.6105,0.0,0.0634,10
6437,149,2.0404,0.5828,0.0,0.0562,10
6810,149,2.0571,0.5668,0.0,0.0655,10
7740,149,2.114,0.6475,0.0,0.062,10
6436,149,2.0844,0.5759,0.0,0.0518,10
9110,149,2.1899,0.5975,0.0,0.0656,10
7595,149,2.1005,0.5785,0.0,0.0595,10
7917,149,2.145,0.5621,0.0,0.0668,10
8045,149,2.1695,0.602,0.0,0.0654,10
7283,149,2.0931,0.5964,0.0,0.0611,10
7911,149,2.137,0.6129,0.0,0.0604,10
7222,149,2.123,0.5694,0.0,0.0616,10
7705,149,2.1057,0.5565,0.0,0.0658,10
7096,149,2.086,0.5685,0.0,0.07,10
7294,149,2.0661,0.5831,0.0,0.0708,10
6780,149,2.095,0.6213,0.0,0.0585,10
7376,149,2.0988,0.5516,0.0,0.061,10
6623,149,2.0686,0.6455,0.0,0.0601,10
7452,149,2.0721,0.6313,0.0,0.0557,10
7191,149,2.0989,0.5664,0.0,0.0517,10
6941,149,2.0755,0.5903,0.0,0.056,10
7498,149,2.0919,0.5809,0.0,0.0543,10
6706,149,2.0222,0.6186,0.0,0.0623,10
6835,149,2.0424,0.5692,0.0,0.056,10
7265,149,2.0782,0.5865,0.0,0.0643,10
6620,149,2.0481,0.5773,0.0,0.052,10
7517,149,2.092,0.6145,0.0,0.0625,10
6344,149,2.0434,0.5536,0.0,0.0541,10
6238,149,1.9874,0.598,0.0,0.0471,10
7107,149,2.1123,0.592,0.0,0.0681,10
7626,149,2.1502,0.5744,0.0,0.0617,10
7236,149,2.0685,0.5709,0.0,0.0691,10
7685,149,2.0906,0.5547,0.0,0.0679,10
7452,149,2.1014,0.6063,0.0,0.0683,10
7306,149,2.091,0.607,0.0,0.0591,10
6423,149,2.0248,0.6372,0.0,0.0594,10
6313,149,2.0057,0.603,0.0,0.053,10
9415,149,2.1874,0.574,0.0,0.0718,10
7420,149,2.0988,0.551,0.0,0.0575,10
6303,149,2.056,0.5935,0.0,0.0595,10
6929,149,2.0824,0.5676,0.0,0.051,10
6885,149,2.0574,0.6,0.0,0.0611,10
7208,149,2.0918,0.6273,0.0,0.0588,10
7390,149,2.2165,0.588,0.0,0.0743,10
6999,149,2.0934,0.5708,0.0,0.0516,10
7357,149,2.0957,0.6183,0.0,0.0698,10
6753,149,2.0709,0.6193,0.0,0.0504,10
6248,149,2.0399,0.546,0.0,0.0476,10
6355,149,2.0102,0.5578,0.0,0.0492,10
6234,149,2.0214,0.6065,0.0,0.0538,10
6930,149,2.0589,0.5966,0.0,0.059,10
7903,149,2.1354,0.5918,0.0,0.0647,10
7584,149,2.1381,0.6014,0.0,0.0679,10
6497,149,2.0647,0.6254,0.0,0.0595,10
6588,149,2.0282,0.6232,0.0,0.0495,10
6463,149,2.025,0.6001,0.0,0.0499,10
