number_of_features,execution_times,fitness,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
16800,28.1855,0.6623,0.2671,0.4693,1.0,25.9,1082,ranking,1000,avltree,rbf
17200,29.1328,0.6567,0.2804,0.4744,1.0,27.0,1082,ranking,1000,avltree,rbf
17300,29.5445,0.6602,0.2824,0.465,0.9999,27.1,1082,ranking,1000,avltree,rbf
17100,30.7118,0.6612,0.2828,0.4874,0.9999,27.5,1082,ranking,1000,avltree,rbf
17400,31.1545,0.6574,0.2758,0.5158,0.9999,27.0,1082,ranking,1000,avltree,rbf
17500,27.8242,0.6765,0.268,0.4745,0.9999,25.6,1082,ranking,1000,avltree,rbf
17700,30.8066,0.6629,0.2763,0.4876,0.9999,27.8,1082,ranking,1000,avltree,rbf
17600,29.7986,0.6752,0.287,0.4554,1.0,27.9,1082,ranking,1000,avltree,rbf
17900,30.9067,0.656,0.2807,0.5029,1.0,28.6,1082,ranking,1000,avltree,rbf
18000,32.4176,0.6533,0.289,0.5047,1.0,28.2,1082,ranking,1000,avltree,rbf
17800,29.1598,0.6541,0.2737,0.4992,1.0,27.0,1082,ranking,1000,avltree,rbf
18200,28.7389,0.655,0.2693,0.5153,0.9999,25.8,1082,ranking,1000,avltree,rbf
18300,30.0833,0.6639,0.2714,0.4996,1.0,27.3,1082,ranking,1000,avltree,rbf
18100,31.6245,0.6778,0.284,0.5186,0.9999,27.6,1082,ranking,1000,avltree,rbf
18400,28.976,0.6558,0.2764,0.5207,0.9999,25.6,1082,ranking,1000,avltree,rbf
18500,32.4997,0.6549,0.2841,0.5473,1.0,28.9,1082,ranking,1000,avltree,rbf
18700,30.7696,0.665,0.2752,0.5704,0.9999,26.6,1082,ranking,1000,avltree,rbf
18600,28.3021,0.6624,0.2799,0.4968,0.9999,23.8,1082,ranking,1000,avltree,rbf
18900,28.6317,0.6611,0.2607,0.5014,1.0,24.7,1082,ranking,1000,avltree,rbf
19000,28.0016,0.6595,0.2788,0.5367,1.0,24.0,1082,ranking,1000,avltree,rbf
18800,32.6176,0.6536,0.2899,0.5281,1.0,28.2,1082,ranking,1000,avltree,rbf
19200,32.1442,0.6579,0.2899,0.5284,0.9999,27.6,1082,ranking,1000,avltree,rbf
19100,29.1778,0.6641,0.2839,0.4962,0.9999,24.6,1082,ranking,1000,avltree,rbf
19400,29.9437,0.6587,0.2736,0.5629,1.0,26.0,1082,ranking,1000,avltree,rbf
19500,30.8015,0.6629,0.2819,0.5775,1.0,26.3,1082,ranking,1000,avltree,rbf
19300,33.1728,0.6692,0.2857,0.6078,1.0,28.1,1082,ranking,1000,avltree,rbf
19600,27.0199,0.6579,0.276,0.5776,1.0,24.5,1082,ranking,1000,avltree,rbf
19700,33.4358,0.6598,0.298,0.541,1.0,27.9,1082,ranking,1000,avltree,rbf
19900,33.6741,0.6609,0.2941,0.5385,0.9999,28.6,1082,ranking,1000,avltree,rbf
19800,30.2141,0.6612,0.2791,0.5591,1.0,26.2,1082,ranking,1000,avltree,rbf
20000,32.0364,0.6612,0.3008,0.5569,1.0,26.8,1082,ranking,1000,avltree,rbf
100,40.4322,0.5219,0.4652,0.0096,0.9995,27.5,1082,ranking,1000,avltree,rbf
400,30.2936,0.6084,0.344,0.0177,0.9999,29.9,1082,ranking,1000,avltree,rbf
500,30.2489,0.5698,0.3195,0.0204,0.9999,31.4,1082,ranking,1000,avltree,rbf
200,36.328,0.665,0.3902,0.0118,0.9998,29.9,1082,ranking,1000,avltree,rbf
300,31.4835,0.589,0.3475,0.0145,0.9998,30.7,1082,ranking,1000,avltree,rbf
600,29.3691,0.62,0.3087,0.0226,0.9999,30.1,1082,ranking,1000,avltree,rbf
900,24.0288,0.5803,0.2713,0.0297,0.9999,29.0,1082,ranking,1000,avltree,rbf
1000,26.5493,0.6288,0.291,0.0346,0.9999,28.7,1082,ranking,1000,avltree,rbf
800,24.8151,0.62,0.2773,0.0281,0.9998,28.2,1082,ranking,1000,avltree,rbf
700,29.0767,0.6044,0.3207,0.0253,0.9998,30.1,1082,ranking,1000,avltree,rbf
1100,21.5815,0.6543,0.2531,0.036,0.9999,27.4,1082,ranking,1000,avltree,rbf
1400,24.372,0.6437,0.2662,0.043,0.9999,29.0,1082,ranking,1000,avltree,rbf
1500,23.122,0.6476,0.2477,0.044,0.9999,28.0,1082,ranking,1000,avltree,rbf
1300,25.4804,0.6002,0.2794,0.0438,0.9999,29.2,1082,ranking,1000,avltree,rbf
1200,21.7746,0.6561,0.2436,0.0389,0.9999,27.6,1082,ranking,1000,avltree,rbf
